Hour,Load (kW),Load (kW)
200,72767.468,0.72767468
201,76011.5957,0.760115957
202,75234.6058,0.752346058
203,79762.7209,0.797627209
204,72147.5044,0.721475044
205,79177.1998,0.791771998
206,81237.8384,0.812378384
207,78687.5093,0.786875093
208,71703.4138,0.717034138
209,69941.7668,0.699417668
210,65608.9828,0.656089828
211,66572.2007,0.665722007
212,66876.0363,0.668760363
213,72345.1964,0.723451964
214,76146.5743,0.761465743
215,70892.8705,0.708928705
216,67583.9733,0.675839733
217,62378.6793,0.623786793
218,69126.5928,0.691265928
219,66933.9502,0.669339502
220,59519.5769,0.595195769
221,54957.2863,0.549572863
222,58467.3032,0.584673032
223,59943.6766,0.599436766
224,57374.413,0.57374413
225,73128.8404,0.731288404
226,68240.0054,0.682400054
227,76885.4041,0.768854041
228,68783.4748,0.687834748
229,73774.7059,0.737747059
230,71906.9267,0.719069267
231,76865.173,0.76865173
232,74772.2691,0.747722691
233,70740.5872,0.707405872
234,71190.1581,0.711901581
235,67567.1666,0.675671666
236,64192.1327,0.641921327
237,73029.7823,0.730297823
238,70247.8326,0.702478326
239,69236.3406,0.692363406
240,71495.1054,0.714951054
241,72441.3643,0.724413643
242,73125.4737,0.731254737
243,83715.8964,0.837158964
244,71638.4829,0.716384829
245,69444.256,0.69444256
246,66138.3214,0.661383214
247,58850.2335,0.588502335
248,62763.0547,0.627630547
249,65079.9351,0.650799351
250,62834.0748,0.628340748
251,59529.8902,0.595298902
252,62179.2454,0.621792454
253,62429.3804,0.624293804
254,70296.8128,0.702968128
255,69892.9928,0.698929928
256,71190.9545,0.711909545
257,71512.5863,0.715125863
258,76299.1626,0.762991626
259,72879.9987,0.728799987
260,69292.5083,0.692925083
261,71064.7664,0.710647664
262,67326.7063,0.673267063
263,66984.9461,0.669849461
264,67019.7589,0.670197589
265,70798.2025,0.707982025
266,76196.1782,0.761961782
267,70469.2249,0.704692249
268,61412.8289,0.614128289
269,59399.3517,0.593993517
270,64931.8541,0.649318541
271,58374.4931,0.583744931
272,55382.2802,0.553822802
273,59210.9729,0.592109729
274,61264.8219,0.612648219
275,56080.681,0.56080681
276,61374.6766,0.613746766
277,63822.7028,0.638227028
278,65990.0079,0.659900079
279,68657.4487,0.686574487
280,69736.9284,0.697369284
281,66749.139,0.66749139
282,69344.3219,0.693443219
283,68313.4281,0.683134281
284,67985.4134,0.679854134
285,69564.7899,0.695647899
286,66627.4786,0.666274786
287,63743.3627,0.637433627
288,62798.9324,0.627989324
289,67868.1656,0.678681656
290,60704.0988,0.607040988
291,56985.5004,0.569855004
292,56220.002,0.56220002
293,53055.572,0.53055572
294,50969.4256,0.509694256
295,50393.9417,0.503939417
296,53364.7802,0.533647802
297,51497.82,0.5149782
298,54515.8758,0.545158758
299,49344.0499,0.493440499
300,52344.1478,0.523441478
301,54920.6484,0.549206484
302,57949.5974,0.579495974
303,51918.1584,0.519181584
304,52529.0832,0.525290832
305,52117.9357,0.521179357
306,55025.3044,0.550253044
307,56247.5737,0.562475737
308,57121.6616,0.571216616
309,52699.3932,0.526993932
310,51646.8916,0.516468916
311,51761.9087,0.517619087
312,51524.5395,0.515245395
313,60108.0327,0.601080327
314,54895.4013,0.548954013
315,47353.9288,0.473539288
316,45820.7279,0.458207279
317,46428.3234,0.464283234
318,44197.2672,0.441972672
319,46086.8714,0.460868714
320,45790.8418,0.457908418
321,51715.0318,0.517150318
322,45817.5499,0.458175499
323,50656.1951,0.506561951
324,51674.7431,0.516747431
325,51834.7148,0.518347148
326,54668.6826,0.546686826
327,54428.748,0.54428748
328,54374.192,0.54374192
329,55903.4413,0.559034413
330,56684.7212,0.566847212
331,56161.5089,0.561615089
332,57932.025,0.57932025
333,56359.5671,0.563595671
334,59927.1224,0.599271224
335,59050.2228,0.590502228
336,60918.0379,0.609180379
337,58521.5611,0.585215611
338,67820.4213,0.678204213
339,61588.2788,0.615882788
340,60151.8133,0.601518133
